item_id,item
1,Adjustment
2,Afternoon with the baker
3,Alfajores
4,Argentina Night
5,Art Tray
6,Bacon
7,Baguette
8,Bakewell
9,Bare Popcorn
10,Basket
11,Bowl Nic Pitt
12,Bread
13,Bread Pudding
14,Brioche and salami
15,Brownie
16,Cake
17,Caramel bites
18,Cherry me Dried fruit
19,Chicken Stew
20,Chicken sand
21,Chimichurri Oil
22,Chocolates
23,Christmas common
24,Coffee
25,Coffee granules 
26,Coke
27,Cookies
28,Crepes
29,Crisps
30,Drinking chocolate spoons 
31,Duck egg
32,Dulce de Leche
33,Eggs
34,Ella's Kitchen Pouches
35,Empanadas
36,Extra Salami or Feta
37,Fairy Doors
38,Farm House
39,Focaccia
40,Frittata
41,Fudge
42,Gift voucher
43,Gingerbread syrup
44,Granola
45,Hack the stack
46,Half slice Monster 
47,Hearty & Seasonal
48,Honey
49,Hot chocolate
50,Jam
51,Jammie Dodgers
52,Juice
53,Keeping It Local
54,Kids biscuit
55,Lemon and coconut
56,Medialuna
57,Mighty Protein
58,Mineral water
59,Mortimer
60,Muesli
61,Muffin
62,My-5 Fruit Shoot
63,Nomad bag
64,Olum & polenta
65,Panatone
66,Pastry
67,Pick and Mix Bowls
68,Pintxos
69,Polenta
70,Postcard
71,Raspberry shortbread sandwich
72,Raw bars
73,Salad
74,Sandwich
75,Scandinavian
76,Scone
77,Siblings
78,Smoothies
79,Soup
80,Spanish Brunch
81,Spread
82,Tacos/Fajita
83,Tartine
84,Tea
85,The BART
86,The Nomad
87,Tiffin
88,Toast
89,Truffles
90,Tshirt
91,Valentine's card
92,Vegan Feast
93,Vegan mincepie
94,Victorian Sponge
